song_id,artist,album,song,spotify_track_link,spotify_img_link,uri,timestamp,short_day,long_day,time_of_day,context_uri,context_link,context_name
1,Equip,Synthetic Core 88 (Original Soundtrack),Flora Awakens (New Memory),https://open.spotify.com/track/1NV5xRjqSLKreTmIQRJxWv,https://i.scdn.co/image/ab67616d0000b27364a540fb1a7a7f3b758b1d5d,spotify:track:1NV5xRjqSLKreTmIQRJxWv,2021-12-21T02:34:21.337Z,12/21/2021,"Dec 21, 2021",02:34,spotify:playlist:4PT829XoCXsrHxWLadG6Oy,https://open.spotify.com/playlist/4PT829XoCXsrHxWLadG6Oy,Not Kurt Vile
2,Slayyyter,Mine,Mine,https://open.spotify.com/track/18uOcUO5mNEYHHigeXPgQM,https://i.scdn.co/image/ab67616d0000b2739390a9abd94385f7ef1b7d66,spotify:track:18uOcUO5mNEYHHigeXPgQM,2021-12-21T02:30:21.418Z,12/21/2021,"Dec 21, 2021",02:30,spotify:playlist:4PT829XoCXsrHxWLadG6Oy,https://open.spotify.com/playlist/4PT829XoCXsrHxWLadG6Oy,Not Kurt Vile
3,my bloody valentine,Isn't Anything,Soft as Snow (But Warm Inside),https://open.spotify.com/track/06kqVxin2I9UDejcTUFqIl,https://i.scdn.co/image/ab67616d0000b2733164437cb02167803e0f7f51,spotify:track:06kqVxin2I9UDejcTUFqIl,2021-12-21T02:27:41.342Z,12/21/2021,"Dec 21, 2021",02:27,spotify:playlist:4PT829XoCXsrHxWLadG6Oy,https://open.spotify.com/playlist/4PT829XoCXsrHxWLadG6Oy,Not Kurt Vile
4,Jasiah,Crisis,Crisis,https://open.spotify.com/track/0IGxkEgMeF1dwOSIj2IUrT,https://i.scdn.co/image/ab67616d0000b273a41dbcb67a3abc7deff87dde,spotify:track:0IGxkEgMeF1dwOSIj2IUrT,2021-12-21T02:25:20.502Z,12/21/2021,"Dec 21, 2021",02:25,spotify:playlist:4PT829XoCXsrHxWLadG6Oy,https://open.spotify.com/playlist/4PT829XoCXsrHxWLadG6Oy,Not Kurt Vile
5,UB40,The Very Best Of,Red Red Wine,https://open.spotify.com/track/4uOKFydzAejjSFqYbv1XPt,https://i.scdn.co/image/ab67616d0000b273f1dd69d7399290cc25324706,spotify:track:4uOKFydzAejjSFqYbv1XPt,2021-12-21T02:23:29.869Z,12/21/2021,"Dec 21, 2021",02:23,spotify:playlist:4PT829XoCXsrHxWLadG6Oy,https://open.spotify.com/playlist/4PT829XoCXsrHxWLadG6Oy,Not Kurt Vile
6,Daft Punk,Discovery,Digital Love,https://open.spotify.com/track/2VEZx7NWsZ1D0eJ4uv5Fym,https://i.scdn.co/image/ab67616d0000b273b33d46dfa2635a47eebf63b2,spotify:track:2VEZx7NWsZ1D0eJ4uv5Fym,2021-12-21T02:20:25.621Z,12/21/2021,"Dec 21, 2021",02:20,spotify:playlist:4PT829XoCXsrHxWLadG6Oy,https://open.spotify.com/playlist/4PT829XoCXsrHxWLadG6Oy,Not Kurt Vile
7,Ssaliva,I'm the One with No Soul,Euphoria,https://open.spotify.com/track/7eqRHPkbD7Yu5fxnPATQeq,https://i.scdn.co/image/ab67616d0000b2735946d1b6a3a5bf4f17b11108,spotify:track:7eqRHPkbD7Yu5fxnPATQeq,2021-12-21T02:15:23.386Z,12/21/2021,"Dec 21, 2021",02:15,spotify:playlist:4PT829XoCXsrHxWLadG6Oy,https://open.spotify.com/playlist/4PT829XoCXsrHxWLadG6Oy,Not Kurt Vile
8,Caroline Loveglow,Patience Etc...,Patience Etc...,https://open.spotify.com/track/0beASpqOl0WWQOfsYZAgGC,https://i.scdn.co/image/ab67616d0000b2730710350e1a81aa42690f87b7,spotify:track:0beASpqOl0WWQOfsYZAgGC,2021-12-21T02:13:44.407Z,12/21/2021,"Dec 21, 2021",02:13,spotify:playlist:4PT829XoCXsrHxWLadG6Oy,https://open.spotify.com/playlist/4PT829XoCXsrHxWLadG6Oy,Not Kurt Vile
9,Kero Kero Bonito,Civilisation,21/04/20,https://open.spotify.com/track/07q7tSbn0fNAToKvE1TtxM,https://i.scdn.co/image/ab67616d0000b273097d12e032a3afb8a2eb0d3f,spotify:track:07q7tSbn0fNAToKvE1TtxM,2021-12-21T01:45:12.333Z,12/21/2021,"Dec 21, 2021",01:45,spotify:playlist:4PT829XoCXsrHxWLadG6Oy,https://open.spotify.com/playlist/4PT829XoCXsrHxWLadG6Oy,Not Kurt Vile
10,Charli XCX,Pop 2,Unlock it (Lock It) - feat. Kim Petras and Jay Park,https://open.spotify.com/track/3qGHAKgjQruzj6doKkyEb5,https://i.scdn.co/image/ab67616d0000b273c61a793955ac590e672eafe8,spotify:track:3qGHAKgjQruzj6doKkyEb5,2021-12-21T01:42:09.703Z,12/21/2021,"Dec 21, 2021",01:42,spotify:playlist:4PT829XoCXsrHxWLadG6Oy,https://open.spotify.com/playlist/4PT829XoCXsrHxWLadG6Oy,Not Kurt Vile
